adding_1.fcr, 7372, 11144, 0.309, #normally
adding_2.fcr, 836838, 1289748, 4.642, #normally
adding_3.fcr, 1894376, 2921634, 10.406, #normally
adding_4.fcr, 3370680, 5201282, 18.843, #normally
adding_5.fcr, 5271456, 8135364, 29.064, #normally
adding_6.fcr, 7609684, 11746148, 42.465, #normally
anderson_1.fcr, , , , #error
anderson_2.fcr, , , , #error
anderson_3.fcr, , , , #error
anderson_4.fcr, , , , #error
anderson_5.fcr, , , , #error
anderson_6.fcr, , , , #error
anderson_7.fcr, , , , #error
anderson_8.fcr, , , , #error
bakery_1.fcr, 1506, 2697, 0.222, #normally
bakery_2.fcr, 1146, 2085, 0.207, #normally
bakery_3.fcr, 32919, 85061, 0.655, #normally
bakery_4.fcr, 157003, 411843, 1.741, #normally
bakery_5.fcr, 7866401, 27018304, 83.595, #normally
bakery_6.fcr, 11845035, 40400559, 127.369, #normally
bakery_7.fcr, 29047471, 100691444, 332.398, #normally
bakery_8.fcr, 45357604, 183947763, 624.841, #incomplete
blocks_2.fcr, 7057, 18552, 0.421, #normally
blocks_3.fcr, 695418, 2094753, 7.76, #normally
blocks_4.fcr, 27677275, 80240221, 293.399, #incomplete
bopdp_1.fcr, 12642, 24039, 0.657, #normally
bopdp_2.fcr, 25685, 58520, 0.89, #normally
bopdp_3.fcr, 1040953, 2747408, 14.516, #normally
cambridge_1.fcr, 11339, 26768, 0.66, #normally
cambridge_2.fcr, 15940, 60907, 0.761, #normally
cambridge_3.fcr, 18138, 45536, 0.783, #normally
cambridge_4.fcr, 60463, 153956, 1.657, #normally
cambridge_5.fcr, 698912, 3199507, 15.295, #normally
cambridge_6.fcr, 3354295, 9483191, 72.811, #normally
cambridge_7.fcr, 11465015, 54850496, 366.822, #normally
cyclic_scheduler_1.fcr, 4606, 20480, 0.527, #normally
cyclic_scheduler_2.fcr, 3302, 7720, 0.348, #normally
cyclic_scheduler_3.fcr, 229374, 1597440, 12.114, #normally
cyclic_scheduler_4.fcr, 473414, 1736712, 12.548, #normally
driving_phils_1.fcr, 14889, 28595, 0.562, #normally
driving_phils_2.fcr, 33173, 81854, 0.949, #normally
driving_phils_3.fcr, 25028985, 61975925, 331.851, #incomplete
driving_phils_4.fcr, 24228796, 61384890, 352.766, #incomplete
driving_phils_5.fcr, 22402448, 50804563, 325.507, #incomplete
elevator2_1.fcr, 1728, 4768, 0.231, #normally
elevator2_2.fcr, 179200, 1036800, 2.506, #normally
elevator2_3.fcr, 7667712, 55377920, 113.942, #normally
elevator_1.fcr, 8543, 15914, 0.539, #normally
elevator_2.fcr, 2825, 5274, 0.335, #normally
elevator_3.fcr, 416935, 1025817, 8.03, #normally
elevator_4.fcr, 888053, 2320984, 16.099, #normally
elevator_5.fcr, 15595207, 40283287, 340.14, #incomplete
elevator_planning_1.fcr, 27631, 136260, 0.875, #normally
elevator_planning_2.fcr, 11428767, 81850097, 220.878, #normally
elevator_planning_3.fcr, 52496, 414080, 1.26, #normally
exit_1.fcr, 3239334, 7491035, 30.751, #normally
